                                                  

        SCF,CCSD
   -145.44619823,   -146.31779081
   -145.45058142,   -146.36585627
   -145.33330211,   -146.17915222
   -145.29850779,   -146.17393891
   -145.21293775,   -146.03871355
   -145.04342361,   -145.85422448
   -144.47861488,   -145.24132004
   -143.26225251,   -143.95985894
   -141.47602950,   -142.11451071
   -139.07800075,   -139.66148048
   -136.08299148,   -136.60271512
   -132.16462567,   -132.65704707
   -127.57443638,   -128.02981256
   -122.23256190,   -122.65252865
   -116.11167239,   -116.49709120
   -109.24388794,   -109.58420111
    -76.78386307,    -76.95247499
    -35.35096276,    -35.42285900
                                                  
