                                                  

        SCF,CCSD
   -145.44499004,   -146.22035166
   -145.44925071,   -146.26734613
   -145.33209985,   -146.08203591
   -145.30058928,   -146.08102523
   -145.21173589,   -145.94232110
   -145.04192682,   -145.76255823
   -144.47744556,   -145.15065729
   -143.26130212,   -143.87585416
   -141.47480245,   -142.03859812
   -139.07672168,   -139.59517127
   -136.08165642,   -136.54676689
   -132.16331590,   -132.60846561
   -127.57321828,   -127.98876759
   -122.23151861,   -122.61946716
   -116.11087389,   -116.47243811
   -109.24337571,   -109.56764128
    -76.78333658,    -76.94859851
    -35.35048695,    -35.42202103
                                                  
