                                                  

        SCF,CCSD
   -144.95079718,   -145.73130361
   -144.95487158,   -145.77783199
   -144.83825305,   -145.59326616
   -144.80495112,   -145.59054880
   -144.71824178,   -145.45411254
   -144.54716403,   -145.27282846
   -143.98326668,   -144.66175846
   -142.76681687,   -143.38658519
   -140.98066229,   -141.54954543
   -138.58363897,   -139.10701942
   -135.59016204,   -136.06004085
   -131.67505993,   -132.12493464
   -127.08855051,   -127.50873677
   -121.75068569,   -122.14321661
   -115.63380095,   -115.99994878
   -108.76944033,   -109.09821607
    -76.47291473,    -76.64068652
    -35.20312074,    -35.27547742
                                                  
