                                                  

        SCF,CCSD
   -144.95203610,   -145.82850351
   -144.95623977,   -145.87611195
   -144.83947929,   -145.69012962
   -144.80621644,   -145.68327161
   -144.71946474,   -145.55024575
   -144.54840373,   -145.36428464
   -143.98447774,   -144.75217841
   -142.76806008,   -143.47036430
   -140.98195560,   -141.62525835
   -138.58499492,   -139.17316658
   -135.59159625,   -136.11588176
   -131.67652405,   -132.17347712
   -127.09000103,   -127.54983476
   -121.75206424,   -122.17644799
   -115.63506005,   -116.02491137
   -108.77055661,   -109.11524492
    -76.47394245,    -76.64501592
    -35.20393385,    -35.27663887
                                                  
