                                                  

        SCF,CCSD
   -144.95195213,   -145.79722603
   -144.95609648,   -145.84464222
   -144.83939405,   -145.65886920
   -144.80612951,   -145.65340151
   -144.71938018,   -145.51909701
   -144.54832214,   -145.33466120
   -143.98438858,   -144.72273310
   -142.76796608,   -143.44306991
   -140.98185532,   -141.60078261
   -138.58488749,   -139.15214569
   -135.59148196,   -136.09848242
   -131.67640334,   -132.15813603
   -127.08987444,   -127.53657313
   -121.75193230,   -122.16528714
   -115.63492349,   -116.01590084
   -108.77041645,   -109.10857611
    -76.47386710,    -76.64340518
    -35.20392584,    -35.27651146
                                                  
