                                                  

        SCF,CCSD
   -146.1178430,   -146.9866575
   -146.1222056,   -147.0346655
   -146.0051034,   -146.8482804
   -145.9750795,   -146.8439420
   -145.8847086,   -146.7078792
   -145.7168389,   -146.5245056
   -145.1523823,   -145.9123165
   -143.9369216,   -144.6315592
   -142.14891107,   -142.78485262
   -139.74648259,   -140.32772567
   -136.74403176,   -137.26181958
   -132.81212911,   -133.30308439
   -128.20413060,   -128.65839253
   -122.83946583,   -123.25863755
   -116.69054308,   -117.07545942
   -109.78975493,   -110.12962987
    -77.12335688,    -77.29226743
    -35.50627817,    -35.57833268
                                                  
