                                                  

         SCF,CCSD
   -5312.913763,   -5313.706933
   -5312.918088,   -5313.754719
   -5312.801226,   -5313.568997
   -5312.771836,   -5313.563495
   -5312.680843,   -5313.428717
   -5312.513798,   -5313.244718
   -5311.950153,   -5312.633929
   -5310.735919,   -5311.354807
   -5308.950871,   -5309.512286
   -5306.553192,   -5307.062098
   -5303.553795,   -5304.003421
   -5299.640827,   -5300.063254
   -5295.050666,   -5295.438352
   -5289.705207,   -5290.060707
   -5283.575762,   -5283.901004
   -5276.688844,   -5276.976433
   -5244.073185,   -5244.215675
   -5202.413827,   -5202.476316
                                                  
