                                                  

         SCF,CCSD
   -5312.916932,   -5314.989200
   -5312.921315,   -5315.037388
   -5312.804395,   -5314.850742
   -5312.775006,   -5314.846016
   -5312.684012,   -5314.710183
   -5312.516968,   -5314.526485
   -5311.953323,   -5313.914614
   -5310.739090,   -5312.633689
   -5308.954047,   -5310.788635
   -5306.556376,   -5308.335177
   -5303.556991,   -5305.272224
   -5299.644037,   -5301.330265
   -5295.053891,   -5296.702465
   -5289.708451,   -5291.321401
   -5283.579025,   -5285.157665
   -5276.692130,   -5278.227286
   -5244.076370,   -5245.428826
   -5202.416869,   -5203.643167
                                                  
