                                                  

         SCF,CCSD
   -5197.673688,   -5199.054574
   -5197.674691,   -5199.092378
   -5197.574776,   -5198.933851
   -5197.493125,   -5198.880211
   -5197.456583,   -5198.799935
   -5197.248486,   -5198.581277
   -5196.710263,   -5198.001897
   -5195.475585,   -5196.719262
   -5193.665527,   -5194.869235
   -5191.238825,   -5192.408578
   -5188.207164,   -5189.339737
   -5184.257497,   -5185.378626
   -5179.628191,   -5180.730441
   -5174.241176,   -5175.327326
   -5168.068102,   -5169.141205
   -5161.136002,   -5162.186550
   -5128.780769,   -5129.700037
   -5087.473180,   -5088.295651
                                                  
