                                                  

        SCF,CCSD
   -146.05084036,   -146.87666689
   -146.05533609,   -146.92492493
   -145.93798528,   -146.73824884
   -145.90739564,   -146.73514706
   -145.81730879,   -146.59746859
   -145.64895082,   -146.41552767
   -145.08443729,   -145.80346550
   -143.86970545,   -144.52594498
   -142.08409913,   -142.68485867
   -139.68616989,   -140.23611352
   -136.69070607,   -137.18132089
   -132.76859518,   -133.23474868
   -128.17398496,   -128.60609229
   -122.82706804,   -123.22682420
   -116.70100502,   -117.06931639
   -109.82882429,   -110.15555224
    -77.13018235,    -77.29384662
    -35.51917746,    -35.58994054
                                                  
