                                                  

        SCF,CCSD
   -146.05056753,   -146.81072396
   -146.05500035,   -146.85809781
   -145.93771151,   -146.67259709
   -145.90712535,   -146.67229665
   -145.81703722,   -146.53243569
   -145.64868505,   -146.35367008
   -145.08418067,   -145.74242079
   -143.86942676,   -144.46937523
   -142.08379086,   -142.63354745
   -139.68582419,   -140.19094922
   -136.69030546,   -137.14287533
   -132.76817674,   -133.20156376
   -128.17358674,   -128.57827361
   -122.82674412,   -123.20478621
   -116.70080190,   -117.05344424
   -109.82876844,   -110.14532487
    -77.13013845,    -77.29181377
    -35.51910842,    -35.58959669
                                                  
