                                                  

        SCF,CCSD
   -146.11788419,   -146.93946528
   -146.12218155,   -146.98731915
   -146.00517198,   -146.80115945
   -145.97505564,   -146.79810215
   -145.88478258,   -146.66089696
   -145.71684270,   -146.47890819
   -145.15243758,   -145.86704285
   -143.93694170,   -144.58867043
   -142.14887399,   -142.74517526
   -139.74636338,   -140.29206344
   -136.74380329,   -137.23076981
   -132.81176583,   -133.27496518
   -128.20359930,   -128.63373652
   -122.83872837,   -123.23775035
   -116.68955551,   -117.05864099
   -109.78846626,   -110.11782322
    -77.12223222,    -77.28826378
    -35.50535847,    -35.57721202
                                                  
