                                                  

        SCF,CCSD
   -146.04853481,   -146.90453134
   -146.05290429,   -146.95266128
   -145.93633482,   -146.76690544
   -145.90523936,   -146.76310219
   -145.81528153,   -146.62542591
   -145.64694441,   -146.44337663
   -145.08246793,   -145.83095300
   -143.86749930,   -144.55236770
   -142.08139065,   -142.70973409
   -139.68271568,   -140.25898232
   -136.68625509,   -137.20135346
   -132.76326955,   -133.25242457
   -128.16752598,   -128.62042424
   -122.81913287,   -123.23712488
   -116.69112004,   -117.07481418
   -109.81634323,   -110.15451922
    -77.16786097,    -77.33700348
    -35.48560029,    -35.55955366
                                                  
