                                                  

        SCF,CCSD
   -146.05271727,   -146.87932605
   -146.05717884,   -146.92746156
   -145.93995315,   -146.74100551
   -145.90875511,   -146.73729144
   -145.81935396,   -146.60037134
   -145.65045452,   -146.41790346
   -145.08622316,   -145.80618796
   -143.87115180,   -144.52835968
   -142.08511076,   -142.68683894
   -139.68665415,   -140.23753364
   -136.69059392,   -137.18203317
   -132.76767430,   -133.23454551
   -128.17220873,   -128.60485777
   -122.82440440,   -123.22449105
   -116.69746023,   -117.06585902
   -109.82446332,   -110.15096337
    -77.11715103,    -77.28057753
    -35.51426080,    -35.58476928
                                                  
