                                                  

        SCF,CCSD
   -146.05463238,   -146.90693293
   -146.05853396,   -146.95366548
   -145.94424737,   -146.77147750
   -145.90219710,   -146.75540920
   -145.82397209,   -146.63147367
   -145.64607934,   -146.43856858
   -145.08584345,   -145.83128800
   -143.86436202,   -144.54551638
   -142.07064185,   -142.69400466
   -139.66356460,   -140.23303701
   -136.65838765,   -137.16514732
   -132.72533561,   -133.20576595
   -128.12009587,   -128.56446049
   -122.76325026,   -123.17316246
   -116.62849027,   -117.00475125
   -109.74941009,   -110.08161692
    -77.02142172,    -77.18633987
    -35.41846009,    -35.48998862
                                                  
