                                                  

        SCF,CCSD
   -146.05458951,   -146.87462090
   -146.05842858,   -146.92116977
   -145.94420361,   -146.73917337
   -145.90215470,   -146.72452637
   -145.82392834,   -146.59927501
   -145.64603653,   -146.40791576
   -145.08580033,   -145.80080280
   -143.86432119,   -144.51720633
   -142.07060177,   -142.66855696
   -139.66352335,   -140.21111104
   -136.65834440,   -137.14692292
   -132.72528995,   -133.18965111
   -128.12004763,   -128.55048884
   -122.76319926,   -123.16136497
   -116.10374287,   -116.99501808
   -109.74935301,   -110.07447654
    -77.02138635,    -77.18463263
    -35.41845869,    -35.48985884
                                                  
