                                                  

        SCF,CCSD
   -146.05430757,   -146.80831224
   -146.05807623,   -146.85400929
   -145.94392140,   -146.67314808
   -145.90187292,   -146.66134598
   -145.82364869,   -146.53385206
   -145.64575992,   -146.34570906
   -145.08553330,   -145.73939186
   -143.86403131,   -144.46030877
   -142.07028311,   -142.61696726
   -139.66316825,   -140.16572468
   -136.65793520,   -137.10831187
   -132.72486212,   -133.15634082
   -128.11963766,   -128.52257563
   -122.76285906,   -123.13926211
   -116.62821032,   -116.97927956
   -109.74926615,   -110.06423305
    -77.02129557,    -77.18259325
    -35.41832820,    -35.48945920
                                                  
