                                                  

        SCF,CCSD
   -146.08793999,   -146.91737938
   -146.09247023,   -146.96573572
   -145.97498078,   -146.77885895
   -145.94450209,   -146.77594403
   -145.85419594,   -146.63788901
   -145.68584873,   -146.45602244
   -145.12092574,   -145.84346131
   -143.90573895,   -144.56539980
   -142.11966677,   -142.72373454
   -139.72133541,   -140.27444647
   -136.72562506,   -137.21918766
   -132.80340664,   -133.27232387
   -128.20904842,   -128.64366120
   -122.86284791,   -123.26480886
   -116.73808554,   -117.10825769
   -109.86790261,   -110.19604393
    -77.17485590,    -77.33895257
    -35.54379780,    -35.61475459
                                                  
