                                                  

        SCF,CCSD
   -146.08764281,   -146.85130121
   -146.09211059,   -146.89877436
   -145.97468264,   -146.71307067
   -145.94420733,   -146.71296133
   -145.85390006,   -146.57271967
   -145.68555849,   -146.39403182
   -145.12064471,   -145.78228308
   -143.90543563,   -144.50870046
   -142.11933346,   -142.67229882
   -139.72096401,   -140.22916400
   -136.72519789,   -137.18063160
   -132.80296053,   -133.23902378
   -128.20862125,   -128.61572501
   -122.86249363,   -123.24265156
   -116.73785066,   -117.09226502
   -109.86781365,   -110.18570255
    -77.17479556,    -77.33686030
    -35.54373159,    -35.61441109
                                                  
