                                                  

        SCF,CCSD
   -146.04810743,   -146.83805082
   -146.05241417,   -146.88530917
   -145.93590584,   -146.70070319
   -145.90481628,   -146.69972899
   -145.81485489,   -146.55984281
   -145.64651099,   -146.38098910
   -145.08205847,   -145.76936266
   -143.86706780,   -144.49526700
   -142.08092636,   -142.65791214
   -139.68220904,   -140.21333644
   -136.68568906,   -137.16247361
   -132.76268472,   -133.21881063
   -128.16696282,   -128.59220490
   -122.81864787,   -123.21471701
   -116.69076157,   -117.05859925
   -109.81613885,   -110.14401652
    -77.16776104,    -77.33480991
    -35.48559709,    -35.55927954
                                                  
