                                                  

        SCF,CCSD
   -146.08025914,   -146.84617122
   -146.08469975,   -146.89354234
   -145.96739972,   -146.70805700
   -145.93673101,   -146.70765377
   -145.84669073,   -146.56783018
   -145.67825159,   -146.38898154
   -145.11369004,   -145.77764637
   -143.89873245,   -144.50427308
   -142.11282659,   -142.66799581
   -139.71454245,   -140.22484324
   -136.71870675,   -137.17604516
   -132.79611413,   -133.23391862
   -128.20112398,   -128.60970670
   -122.85397498,   -123.23530668
   -116.72788063,   -117.08312926
   -109.85593511,   -110.17419567
    -77.16024562,    -77.32234171
    -35.54046053,    -35.61088104
                                                  
