                                                  

        SCF,CCSD
   -146.04958355,   -146.92709115
   -146.05404339,   -146.97547050
   -145.93717338,   -146.78918386
   -145.90638508,   -146.78436828
   -145.81620987,   -146.64776870
   -145.64799642,   -146.46434722
   -145.08337072,   -145.85167366
   -143.86840338,   -144.57115763
   -142.08231447,   -142.72601438
   -139.68366512,   -140.27219558
   -136.68722438,   -137.21156061
   -132.76419418,   -133.26102127
   -128.16837777,   -128.62764689
   -122.81988511,   -123.24306965
   -116.69175217,   -117.07953780
   -109.81684612,   -110.15825566
    -77.15614018,    -77.32543671
    -35.48898799,    -35.56244688
                                                  
