                                                  

        SCF,CCSD
   -146.04956776,   -146.89605203
   -146.05397066,   -146.94424181
   -145.93715631,   -146.75816003
   -145.90636929,   -146.75473116
   -145.81619285,   -146.61685195
   -145.64797981,   -146.43494742
   -145.08335324,   -145.82245220
   -143.86838727,   -144.54408310
   -142.08229840,   -142.70176294
   -139.68364742,   -140.25141227
   -136.68720444,   -137.19440684
   -132.76417198,   -133.24593198
   -128.16835340,   -128.61463406
   -122.81985867,   -123.23215082
   -116.69172383,   -117.07075593
   -109.81681610,   -110.15177198
    -77.15612490,    -77.32392929
    -35.48898839,    -35.56232963
                                                  
