                                                  

         SCF,CCSD
   -5197.673688,   -5198.271658
   -5197.674691,   -5198.309274
   -5197.574776,   -5198.151240
   -5197.493125,   -5198.095887
   -5197.456583,   -5198.017492
   -5197.248486,   -5197.797311
   -5196.710263,   -5197.218523
   -5195.475585,   -5195.935114
   -5193.665527,   -5194.084106
   -5191.238825,   -5191.622298
   -5188.207164,   -5188.552592
   -5184.257497,   -5184.589637
   -5179.628191,   -5179.940044
   -5174.241176,   -5174.535620
   -5168.068102,   -5168.348382
   -5161.136002,   -5161.393333
   -5128.780769,   -5128.922755
   -5087.473180,   -5087.541934
                                                  
