                                                  

         SCF,CCSD
   -5312.902040,   -5313.633265
   -5312.906303,   -5313.680161
   -5312.789497,   -5313.495627
   -5312.759966,   -5313.492981
   -5312.669115,   -5313.355971
   -5312.502090,   -5313.175181
   -5311.938449,   -5312.565221
   -5310.724197,   -5311.290556
   -5308.939115,   -5309.453202
   -5306.541397,   -5307.008990
   -5303.541954,   -5303.956822
   -5299.628999,   -5300.021736
   -5295.038907,   -5295.402012
   -5289.693589,   -5290.029865
   -5283.564344,   -5283.875915
   -5276.677661,   -5276.956542
   -5244.062027,   -5244.202889
   -5202.402765,   -5202.465019
                                                  
