z,UC,CRENBL,LANL2,SBKJC,MDFSTU,MWBSTU,ccECP,AE
1.100000,0.047598,0.045962,0.047851,0.051185,0.045836,0.045396,0.045926,0.045711
1.200000,-0.016040,-0.017297,-0.015690,-0.013022,-0.017588,-0.017657,-0.017456,-0.017591
1.300000,-0.053797,-0.054726,-0.053372,-0.051363,-0.055131,-0.054988,-0.054984,-0.055048
1.400000,-0.074915,-0.075564,-0.074444,-0.073018,-0.076027,-0.075773,-0.075886,-0.075888
1.500000,-0.085203,-0.085622,-0.084716,-0.083777,-0.086102,-0.085802,-0.085978,-0.085942
1.600000,-0.088437,-0.088673,-0.087958,-0.087409,-0.089140,-0.088834,-0.089040,-0.088996
1.700000,-0.087121,-0.087215,-0.086667,-0.086425,-0.087651,-0.087362,-0.087577,-0.087540
1.800000,-0.082936,-0.082925,-0.082515,-0.082512,-0.083318,-0.083057,-0.083268,-0.083243
1.900000,-0.077022,-0.076929,-0.076638,-0.076813,-0.077281,-0.077053,-0.077250,-0.077237
2.000000,-0.070161,-0.070012,-0.069817,-0.070126,-0.070319,-0.070125,-0.070309,-0.070301
