                                                  

        SCF,CCSD
   -135.20120137,   -135.92660618
   -135.04398485,   -135.74120157
   -135.13428779,   -135.87087750
   -134.91812460,   -135.58796013
   -134.83766937,   -135.50510856
   -134.21445698,   -134.82974591
   -133.07826044,   -133.63385339
   -131.43341061,   -131.93755887
   -129.24604990,   -129.70393503
   -126.53182500,   -126.93498678
   -102.55791739,   -102.82233164
    -72.39455434,    -72.52049312
    -34.03207263,    -34.08311185
   -127.8217446,   -128.2452498

                                                  
