                                                  

        SCF,CCSD
   -134.63464159,   -135.37327367
   -134.47335546,   -135.18360444
   -134.57615936,   -135.32542469
   -134.34767099,   -135.03016978
   -134.27637809,   -134.95613687
   -133.64840307,   -134.27544253
   -132.51828964,   -133.08455892
   -130.88127113,   -131.39495942
   -128.70330661,   -129.16959358
   -125.99964969,   -126.40998196
   -102.09146252,   -102.35920322
    -72.17229051,    -72.29841522
    -34.04566090,    -34.09513809
   -127.3237435,   -127.7546198

                                                  
