                                                  

        SCF,CCSD
   -134.78068889,   -135.49861715
   -134.80446903,   -135.58161452
   -134.62476824,   -135.31443804
   -134.71173825,   -135.44076558
   -134.49936578,   -135.16196132
   -134.41672853,   -135.07696246
   -133.79652664,   -134.40469482
   -132.38225818,   -133.20611578
   -130.85047846,   -131.51669042
   -128.83439969,   -129.28613168
   -126.12390017,   -126.52129187
   -102.17743192,   -102.44072340
    -72.12323979,    -72.24877169
    -33.90953268,    -33.96081142
   -127.4220697,   -127.8395945
                                                  
