                                                  

        SCF,CCSD
   -134.78917565,   -135.50682308
   -134.81295499,   -135.58953077
   -134.63277509,   -135.32206380
   -134.71873361,   -135.44745445
   -134.50770648,   -135.17021647
   -134.42352245,   -135.08371843
   -133.80292365,   -134.41120528
   -132.66591071,   -133.21493459
   -131.02053435,   -131.51846233
   -128.83315290,   -129.28520381
   -126.11994143,   -126.51766706
   -102.16464142,   -102.42719597
    -72.12687779,    -72.25171814
    -33.94859007,    -33.99910990
   -127.42973208,   -127.84726006
                                                  
