                                                  

        SCF,CCSD
   -135.17539527,   -135.89741980
   -135.19878861,   -135.98008113
   -135.02060036,   -135.71446306
   -135.10878550,   -135.84124943
   -134.89510952,   -135.56179936
   -134.81486731,   -135.47848491
   -134.19630733,   -134.80785806
   -133.06561535,   -133.61731098
   -131.42653444,   -131.92664930
   -129.24477792,   -129.69860073
   -126.53559232,   -126.93490079
   -102.56453108,   -102.82777907
    -72.40121554,    -72.52683697
    -34.03661630,    -34.08752567
    -127.8232104,   -128.2427738

