                                                  

          SCF,CCSD
   -19012.51199609,   -19013.17863
   -19012.53571595,   -19013.26128
   -19012.35618139,   -19012.99515
   -19012.44263059,   -19013.11943
   -19012.23064157,   -19012.84267
   -19012.14864664,   -19012.75606
   -19011.52824665,   -19012.08482
   -19010.39142965,   -19010.88849
   -19008.74552625,   -19009.19163
   -19006.55672930,   -19006.95744
   -19003.83819162,   -19004.18687
   -18979.90112915,   -18980.12111
   -18949.77722807,   -18949.88152
   -18911.55798582,   -18911.60040
                                                  
