                                                  

        SCF,CCSD
   -134.99076043,   -135.70286115
   -134.83431758,   -135.51804319
   -134.92081706,   -135.64427998
   -134.70897828,   -135.36578984
   -134.62528496,   -135.27997104
   -134.00393687,   -134.60669206
   -132.86639541,   -133.41006963
   -131.22016633,   -131.71301707
   -129.03161924,   -129.47891174
   -126.31699933,   -126.71026751
   -102.35197563,   -102.61263296
    -72.21439315,    -72.33873700
    -33.93394887,    -33.98501936
   -127.60819497,   -128.02160523
                                                  
