        SCF,CCSD
   -135.00636023,   -135.70775145
   -135.03027054,   -135.79095716
   -134.84977679,   -135.52284000
   -134.93624761,   -135.64906257
   -134.72436184,   -135.37045572
   -134.64051478,   -135.28447590
   -134.01883606,   -134.61089158
   -132.88078184,   -133.41388293
   -131.23405970,   -131.71656463
   -129.04510857,   -129.48238364
   -126.33025430,   -126.71412776
   -102.36904293,   -102.62556156
    -72.24261519,    -72.36539867
    -33.96129227,    -34.01215710
   -127.61208639,   -128.01638332
                                                  
