                                                  

     Z,SCF,CCSD,A_SCF,A_CCSD,B_SCF,B_CCSD
   1.2,   -135.2744251,   -136.0565640,   -134.7891757,   -135.5068231,   -0.49982987,   -0.49982987
   1.3,   -135.3185896,   -136.0976961,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.4,   -135.3416942,   -136.1173737,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.5,   -135.3515410,   -136.1237313,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.6,   -135.3530369,   -136.1219271,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.7,   -135.3493125,   -136.1152829,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.8,   -135.3423885,   -136.1059626,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.9,   -135.3335792,   -136.0953712,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   2.0,   -135.3237434,   -136.0844221,      0.0000000,      0.0000000,    0.00000000,    0.00000000
                                                  
