                                                  

     Z,SCF,CCSD,A_SCF,A_CCSD,B_SCF,B_CCSD
   1.2,   -135.6594419,   -136.4458917,   -135.1753953,   -135.8974202,   -0.49982987,   -0.49982987
   1.3,   -135.7041350,   -136.4875792,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.4,   -135.7276389,   -136.5076762,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.5,   -135.7377762,   -136.5143338,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.6,   -135.7394795,   -136.5127358,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.7,   -135.7359025,   -136.5062273,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.8,   -135.7290824,   -136.4969871,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.9,   -135.7203447,   -136.4864342,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   2.0,   -135.7105573,   -136.4754946,      0.0000000,      0.0000000,    0.00000000,    0.00000000
                                                  
