                                                  

     Z,SCF,CCSD,A_SCF,A_CCSD,B_SCF,B_CCSD
   1.2,   -135.4823503,   -136.2536816,   -134.9964754,   -135.7031833,   -0.49982987,   -0.49982987
   1.3,   -135.5264456,   -136.2947556,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.4,   -135.5494551,   -136.3143441,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.5,   -135.5592022,   -136.3206043,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.6,   -135.5606046,   -136.3187064,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.7,   -135.5567978,   -136.3119773,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.8,   -135.5498034,   -136.3025826,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.9,   -135.5409352,   -136.2919276,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   2.0,   -135.5310506,   -136.2809252,      0.0000000,      0.0000000,    0.00000000,    0.00000000
                                                  
