                                                  

        SCF,CCSD
   -135.17539527,   -135.89742016
   -135.02060036,   -135.71446494
   -135.10878550,   -135.84124947
   -134.89510952,   -135.56179965
   -134.81486731,   -135.47848499
   -134.19630733,   -134.80785869
   -133.06561535,   -133.61731130
   -131.42653444,   -131.92664936
   -129.24477792,   -129.69860063
   -126.53559232,   -126.93490079
   -102.56453108,   -102.82777907
    -72.40121554,    -72.52683698
    -34.03661630,    -34.08752577
   -127.8232104,   -128.2427738

                                                  
