                                                  

        SCF,CCSD
   -134.78063225,   -135.49858075
   -134.62480095,   -135.31448926
   -134.71154104,   -135.44058618
   -134.49940998,   -135.16203711
   -134.41661476,   -135.07687955
   -133.79654434,   -134.40474515
   -132.66179339,   -133.21061751
   -131.01892517,   -131.51659777
   -128.83415271,   -129.28593437
   -126.12348966,   -126.52093648
   -102.17544865,   -102.43878558
    -72.12133797,    -72.24690158
    -33.90758349,    -33.95887629
                                                  
