                                                  

     Z,SCF,CCSD,A_SCF,A_CCSD,B_SCF,B_CCSD
   1.2,   -135.6895462,   -136.4794844,   -135.2012014,   -135.9266062,   -0.49982987,   -0.49982987
   1.3,   -135.7332832,   -136.5202170,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.4,   -135.7559434,   -136.5394960,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.5,   -135.7653611,   -136.5454743,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.6,   -135.7664638,   -136.5433229,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.7,   -135.7623912,   -136.5363664,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.8,   -135.7551639,   -136.5267709,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.9,   -135.7460938,   -136.5159380,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   2.0,   -135.7360351,   -136.5047801,      0.0000000,      0.0000000,    0.00000000,    0.00000000
                                                  
