                                                  

     Z,SCF,CCSD,A_SCF,A_CCSD,B_SCF,B_CCSD
   1.2,   -135.1265188,   -135.9297931,   -134.6346416,   -135.3732737,   -0.49982987,   -0.49982987
   1.3,   -135.1699738,   -135.9704145,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.4,   -135.1922095,   -135.9894621,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.5,   -135.2011306,   -135.9951299,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.6,   -135.2017175,   -135.9926211,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.7,   -135.1971454,   -135.9852895,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.8,   -135.1894558,   -135.9753185,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.9,   -135.1799694,   -135.9641275,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   2.0,   -135.1695428,   -135.9526381,      0.0000000,      0.0000000,    0.00000000,    0.00000000
                                                  
