                                                  

     Z,SCF,CCSD,A_SCF,A_CCSD,B_SCF,B_CCSD
   1.2,   -135.2660317,   -136.0484997,   -134.7806889,   -135.4986172,   -0.49982987,   -0.49982987
   1.3,   -135.3103608,   -136.0897958,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.4,   -135.3335541,   -136.1095631,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.5,   -135.3434405,   -136.1159604,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.6,   -135.3449453,   -136.1141626,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.7,   -135.3412121,   -136.1075037,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.8,   -135.3342693,   -136.0981548,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.9,   -135.3254364,   -136.0875266,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   2.0,   -135.3155752,   -136.0765364,      0.0000000,      0.0000000,    0.00000000,    0.00000000
                                                  
