                                                  

     Z,SCF,CCSD,A_SCF,A_CCSD,B_SCF,B_CCSD
   1.2,   -135.4767926,   -136.2535061,   -134.9907604,   -135.7028611,   -0.49982987,   -0.49982987
   1.3,   -135.5208241,   -136.2944978,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.4,   -135.5438010,   -136.3140415,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.5,   -135.5535319,   -136.3202781,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.6,   -135.5549262,   -136.3183681,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.7,   -135.5511153,   -136.3116338,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.8,   -135.5441186,   -136.3022372,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.9,   -135.5352488,   -136.2915821,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   2.0,   -135.5253628,   -136.2805807,      0.0000000,      0.0000000,    0.00000000,    0.00000000
                                                  
