                                                  

     Z,SCF,CCSD,A_SCF,A_CCSD,B_SCF,B_CCSD
   1.2,   -135.2658664,   -136.0483532,   -134.7806322,   -135.4985808,   -0.49982987,   -0.49982987
   1.3,   -135.3102061,   -136.0896568,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.4,   -135.3334135,   -136.1094347,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.5,   -135.3433155,   -136.1158440,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.6,   -135.3448357,   -136.1140587,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.7,   -135.3411170,   -136.1074116,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.8,   -135.3341873,   -136.0980737,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.9,   -135.3253660,   -136.0874556,      0.0000000,      0.0000000,    0.00000000,    0.00000000
   2.0,   -135.3155149,   -136.0764742,      0.0000000,      0.0000000,    0.00000000,    0.00000000
                                                  
