                                                  

      SCF,CCSD
   -5.33075395,   -5.40780408
   -5.31915301,   -5.43231738
   -4.97794248,   -5.17825376
   -5.02598350,   -5.08951810
   -4.79973403,   -4.82188615
   -4.46027360,   -4.50930850
   -4.17357141,   -4.18606747
   -4.05094734,   -4.14142295
   -3.87985730,   -3.91857069
   -3.60900174,   -3.64240155
   -3.25596185,   -3.26109783
   -2.02650649,   -2.02650649
   -1.53783705,   -1.53783705
   -1.00800575,   -1.00800575
   -0.68485419,   -0.68485419
                                                  
