                                                  

      SCF,CCSD
   -5.31376758,   -5.39457849
   -5.30055426,   -5.42003933
   -4.95985033,   -5.18357038
   -5.01223152,   -5.07814852
   -4.78413845,   -4.80786306
   -4.45062118,   -4.50078549
   -4.16181733,   -4.17501544
   -4.04985610,   -4.13685574
   -3.90066056,   -3.94542186
   -3.60422500,   -3.63787452
   -3.24873435,   -3.25397648
   -2.02454447,   -2.02454447
   -1.53270843,   -1.53270843
   -1.01208519,   -1.01208519
   -0.89944346,   -0.89944346
                                                  
