                                                  

      SCF,CCSD
   -5.26366203,   -5.33626857
   -5.25308808,   -5.36348936
   -4.90904829,   -5.05242107
   -4.96163423,   -5.01990895
   -4.72788559,   -4.74849556
   -4.40582475,   -4.44965347
   -4.10927358,   -4.12067978
   -4.00485028,   -4.07862650
   -3.86891228,   -3.90793644
   -3.57493114,   -3.60443596
   -3.20944452,   -3.21397819
   -2.01183277,   -2.01183277
   -1.50395886,   -1.50395886
   -0.95920652,   -0.95920652
   -0.88477396,   -0.88477396
                                                  
