                                                  

      SCF,CCSD
   -5.32985168,   -5.41000640
   -5.31806538,   -5.43640618
   -4.97744913,   -5.17741244
   -5.02509933,   -5.09067979
   -4.79927956,   -4.82262040
   -4.45937285,   -4.50948083
   -4.17300328,   -4.18603295
   -4.05021274,   -4.14202105
   -3.90275370,   -3.94705849
   -3.60815111,   -3.64194143
   -3.25535446,   -3.26056415
   -2.02607195,   -2.02607195
   -1.53754543,   -1.53754543
   -1.00632679,   -1.00632679
   -0.88608531,   -0.88608531
                                                  
