                                                  

      SCF,CCSD
   -5.29842233,   -5.37203553
   -5.28671086,   -5.39774400
   -4.94268180,   -5.14682792
   -4.99280653,   -5.05271261
   -4.76245993,   -4.78300105
   -4.42938019,   -4.47517047
   -4.13646141,   -4.14790847
   -4.01890779,   -4.10057385
   -3.87474544,   -3.91429227
   -3.58662783,   -3.61799488
   -3.22540294,   -3.23003155
   -2.01280874,   -2.01280874
   -1.51386103,   -1.51386103
   -0.96758731,   -0.96758731
   -0.81184249,   -0.81184249
                                                  
