                                                  

      SCF,CCSD
   -5.26564163,   -5.33917088
   -5.25323717,   -5.36368491
   -4.91433370,   -5.12798340
   -4.96332111,   -5.02352988
   -4.73848551,   -4.75887044
   -4.40339864,   -4.44987085
   -4.11745596,   -4.12885604
   -4.00402823,   -4.08579956
   -3.84200471,   -3.88080464
   -3.56304822,   -3.59532196
   -3.21022648,   -3.21493180
   -1.99896292,   -1.99896292
   -1.51122222,   -1.51122222
   -0.98603413,   -0.98603413
   -0.72557334,   -0.72557334
                                                  
