                                                  

      SCF,CCSD
   -5.27203095,   -5.35098415
   -5.26404386,   -5.38076421
   -4.92437694,   -5.16869355
   -4.96739730,   -5.03183587
   -4.74568874,   -4.76871384
   -4.40416956,   -4.45345658
   -4.12546018,   -4.13817803
   -4.00490749,   -4.09635893
   -3.85064396,   -3.89510192
   -3.55662533,   -3.59029519
   -3.21577146,   -3.22082379
   -1.99401950,   -1.99401950
   -1.52616550,   -1.52616550
   -1.00849242,   -1.00849242
   -0.87147560,   -0.87147560
                                                  
