                                                  

      SCF,CCSD
   -5.30703480,   -5.37856958
   -5.29525201,   -5.40405629
   -4.95078456,   -5.08804821
   -5.00205331,   -5.06066125
   -4.77321777,   -4.79254231
   -4.43741972,   -4.48310796
   -4.14783153,   -4.15857826
   -4.01442748,   -4.10092292
   -3.88168566,   -3.92308397
   -3.58988205,   -3.62261412
   -3.23388567,   -3.23827488
   -2.01291867,   -2.01291867
   -1.52262773,   -1.52262773
   -0.94650918,   -0.94650918
   -0.83760953,   -0.83760953
                                                  
