 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    1     0.0000000000     -5.980885508474    -4733.879002673524 (   4 * )
    2     0.1162085855     -5.864676922994    -4733.762794088045 (   2 * )
    3     0.1162085865     -5.864676921978    -4733.762794087029 (   2 * )
    4     0.1162085879     -5.864676920610    -4733.762794085660 (   2 * )
    5     0.1162085980     -5.864676910429    -4733.762794075479 (   2 * )
    6     0.1162085994     -5.864676909115    -4733.762794074166 (   2 * )
    7     0.1936809777     -5.787204530803    -4733.685321695853 (   4 * )
    8     0.1936810019     -5.787204506569    -4733.685321671619 (   2 * )


 Total average:     -4733.7627940821
