                                                  

     Z,SCF,CCSD,A_SCF,A_CCSD,B_SCF,B_CCSD
   2.45,   -22.39048798,   -22.79563574,   -11.18062511,   -11.36236834,   -11.18062511,   -11.36236834
   2.50,   -22.39548801,   -22.80041570,     0.00000000,     0.00000000,     0.00000000,     0.00000000
   2.55,   -22.39850090,   -22.80332064,     0.00000000,     0.00000000,     0.00000000,     0.00000000
   2.60,   -22.39985873,   -22.80468061,     0.00000000,     0.00000000,     0.00000000,     0.00000000
   2.65,   -22.39984326,   -22.80477545,     0.00000000,     0.00000000,     0.00000000,     0.00000000
   2.70,   -22.39869358,   -22.80384258,     0.00000000,     0.00000000,     0.00000000,     0.00000000
   2.75,   -22.39661267,   -22.80208426,     0.00000000,     0.00000000,     0.00000000,     0.00000000
   2.80,   -22.39377286,   -22.79967040,     0.00000000,     0.00000000,     0.00000000,     0.00000000
   2.85,   -22.39032042,   -22.79674721,     0.00000000,     0.00000000,     0.00000000,     0.00000000
                                                  
