0: output to I.dmc.o
0: Timestep is 1.20352941176471
272: Timestep is 1.20352941176471
1360: Timestep is 1.20352941176471
816: Timestep is 1.20352941176471
1088: Timestep is 1.20352941176471
1632: Timestep is 1.20352941176471
1904: Timestep is 1.20352941176471
544: Timestep is 1.20352941176471
27: Timestep is 1.20352941176471
1089: Timestep is 1.20352941176471
1634: Timestep is 1.20352941176471
1090: Timestep is 1.20352941176471
1635: Timestep is 1.20352941176471
1091: Timestep is 1.20352941176471
1636: Timestep is 1.20352941176471
1638: Timestep is 1.20352941176471
28: Timestep is 1.20352941176471
1092: Timestep is 1.20352941176471
1093: Timestep is 1.20352941176471
1639: Timestep is 1.20352941176471
29: Timestep is 1.20352941176471
1094: Timestep is 1.20352941176471
1640: Timestep is 1.20352941176471
1095: Timestep is 1.20352941176471
1641: Timestep is 1.20352941176471
30: Timestep is 1.20352941176471
1096: Timestep is 1.20352941176471
1643: Timestep is 1.20352941176471
1097: Timestep is 1.20352941176471
1644: Timestep is 1.20352941176471
36: Timestep is 1.20352941176471
1098: Timestep is 1.20352941176471
1645: Timestep is 1.20352941176471
273: Timestep is 1.20352941176471
1361: Timestep is 1.20352941176471
274: Timestep is 1.20352941176471
1362: Timestep is 1.20352941176471
275: Timestep is 1.20352941176471
1363: Timestep is 1.20352941176471
276: Timestep is 1.20352941176471
1364: Timestep is 1.20352941176471
1099: Timestep is 1.20352941176471
277: Timestep is 1.20352941176471
1365: Timestep is 1.20352941176471
1646: Timestep is 1.20352941176471
278: Timestep is 1.20352941176471
1366: Timestep is 1.20352941176471
37: Timestep is 1.20352941176471
279: Timestep is 1.20352941176471
1367: Timestep is 1.20352941176471
817: Timestep is 1.20352941176471
280: Timestep is 1.20352941176471
1905: Timestep is 1.20352941176471
545: Timestep is 1.20352941176471
1368: Timestep is 1.20352941176471
818: Timestep is 1.20352941176471
281: Timestep is 1.20352941176471
1906: Timestep is 1.20352941176471
546: Timestep is 1.20352941176471
1369: Timestep is 1.20352941176471
819: Timestep is 1.20352941176471
