0: output to I.dmc.o
272: Timestep is 1.15857536764706
0: Timestep is 1.15857536764706
1360: Timestep is 1.15857536764706
817: Timestep is 1.15857536764706
544: Timestep is 1.15857536764706
1904: Timestep is 1.15857536764706
1632: Timestep is 1.15857536764706
1361: Timestep is 1.15857536764706
1088: Timestep is 1.15857536764706
23: Timestep is 1.15857536764706
818: Timestep is 1.15857536764706
1905: Timestep is 1.15857536764706
545: Timestep is 1.15857536764706
1362: Timestep is 1.15857536764706
1089: Timestep is 1.15857536764706
24: Timestep is 1.15857536764706
819: Timestep is 1.15857536764706
546: Timestep is 1.15857536764706
1906: Timestep is 1.15857536764706
1090: Timestep is 1.15857536764706
25: Timestep is 1.15857536764706
1363: Timestep is 1.15857536764706
820: Timestep is 1.15857536764706
1907: Timestep is 1.15857536764706
1364: Timestep is 1.15857536764706
1091: Timestep is 1.15857536764706
547: Timestep is 1.15857536764706
27: Timestep is 1.15857536764706
822: Timestep is 1.15857536764706
548: Timestep is 1.15857536764706
1908: Timestep is 1.15857536764706
1365: Timestep is 1.15857536764706
1092: Timestep is 1.15857536764706
28: Timestep is 1.15857536764706
823: Timestep is 1.15857536764706
549: Timestep is 1.15857536764706
1909: Timestep is 1.15857536764706
1367: Timestep is 1.15857536764706
824: Timestep is 1.15857536764706
550: Timestep is 1.15857536764706
1910: Timestep is 1.15857536764706
1093: Timestep is 1.15857536764706
29: Timestep is 1.15857536764706
1368: Timestep is 1.15857536764706
825: Timestep is 1.15857536764706
551: Timestep is 1.15857536764706
1911: Timestep is 1.15857536764706
1094: Timestep is 1.15857536764706
30: Timestep is 1.15857536764706
1369: Timestep is 1.15857536764706
826: Timestep is 1.15857536764706
552: Timestep is 1.15857536764706
1912: Timestep is 1.15857536764706
1095: Timestep is 1.15857536764706
32: Timestep is 1.15857536764706
1370: Timestep is 1.15857536764706
827: Timestep is 1.15857536764706
1096: Timestep is 1.15857536764706
33: Timestep is 1.15857536764706
1913: Timestep is 1.15857536764706
553: Timestep is 1.15857536764706
1371: Timestep is 1.15857536764706
1097: Timestep is 1.15857536764706
34: Timestep is 1.15857536764706
828: Timestep is 1.15857536764706
273: Timestep is 1.15857536764706
554: Timestep is 1.15857536764706
1915: Timestep is 1.15857536764706
274: Timestep is 1.15857536764706
275: Timestep is 1.15857536764706
1372: Timestep is 1.15857536764706
1098: Timestep is 1.15857536764706
1633: Timestep is 1.15857536764706
276: Timestep is 1.15857536764706
1099: Timestep is 1.15857536764706
1634: Timestep is 1.15857536764706
278: Timestep is 1.15857536764706
1636: Timestep is 1.15857536764706
279: Timestep is 1.15857536764706
1637: Timestep is 1.15857536764706
280: Timestep is 1.15857536764706
1638: Timestep is 1.15857536764706
281: Timestep is 1.15857536764706
1639: Timestep is 1.15857536764706
282: Timestep is 1.15857536764706
1640: Timestep is 1.15857536764706
284: Timestep is 1.15857536764706
1641: Timestep is 1.15857536764706
285: Timestep is 1.15857536764706
1642: Timestep is 1.15857536764706
1643: Timestep is 1.15857536764706
36: Timestep is 1.15857536764706
1644: Timestep is 1.15857536764706
829: Timestep is 1.15857536764706
286: Timestep is 1.15857536764706
555: Timestep is 1.15857536764706
1916: Timestep is 1.15857536764706
1373: Timestep is 1.15857536764706
830: Timestep is 1.15857536764706
556: Timestep is 1.15857536764706
1917: Timestep is 1.15857536764706
1100: Timestep is 1.15857536764706
