0: output to I.dmc.o
1088: Timestep is 1.19925551470588
1904: Timestep is 1.19925551470588
0: Timestep is 1.19925551470588
1360: Timestep is 1.19925551470588
272: Timestep is 1.19925551470588
816: Timestep is 1.19925551470588
1632: Timestep is 1.19925551470588
544: Timestep is 1.19925551470588
1361: Timestep is 1.19925551470588
1089: Timestep is 1.19925551470588
273: Timestep is 1.19925551470588
1905: Timestep is 1.19925551470588
25: Timestep is 1.19925551470588
1633: Timestep is 1.19925551470588
545: Timestep is 1.19925551470588
1090: Timestep is 1.19925551470588
1906: Timestep is 1.19925551470588
1362: Timestep is 1.19925551470588
274: Timestep is 1.19925551470588
26: Timestep is 1.19925551470588
546: Timestep is 1.19925551470588
1907: Timestep is 1.19925551470588
1363: Timestep is 1.19925551470588
1634: Timestep is 1.19925551470588
1091: Timestep is 1.19925551470588
275: Timestep is 1.19925551470588
28: Timestep is 1.19925551470588
1635: Timestep is 1.19925551470588
547: Timestep is 1.19925551470588
1092: Timestep is 1.19925551470588
29: Timestep is 1.19925551470588
1636: Timestep is 1.19925551470588
1364: Timestep is 1.19925551470588
276: Timestep is 1.19925551470588
548: Timestep is 1.19925551470588
1093: Timestep is 1.19925551470588
1637: Timestep is 1.19925551470588
1365: Timestep is 1.19925551470588
277: Timestep is 1.19925551470588
1909: Timestep is 1.19925551470588
30: Timestep is 1.19925551470588
549: Timestep is 1.19925551470588
1094: Timestep is 1.19925551470588
1638: Timestep is 1.19925551470588
1366: Timestep is 1.19925551470588
278: Timestep is 1.19925551470588
1910: Timestep is 1.19925551470588
31: Timestep is 1.19925551470588
550: Timestep is 1.19925551470588
1095: Timestep is 1.19925551470588
1639: Timestep is 1.19925551470588
1367: Timestep is 1.19925551470588
279: Timestep is 1.19925551470588
1911: Timestep is 1.19925551470588
37: Timestep is 1.19925551470588
551: Timestep is 1.19925551470588
1096: Timestep is 1.19925551470588
1368: Timestep is 1.19925551470588
280: Timestep is 1.19925551470588
1912: Timestep is 1.19925551470588
38: Timestep is 1.19925551470588
1640: Timestep is 1.19925551470588
552: Timestep is 1.19925551470588
1097: Timestep is 1.19925551470588
1369: Timestep is 1.19925551470588
1913: Timestep is 1.19925551470588
553: Timestep is 1.19925551470588
1914: Timestep is 1.19925551470588
817: Timestep is 1.19925551470588
818: Timestep is 1.19925551470588
819: Timestep is 1.19925551470588
1641: Timestep is 1.19925551470588
554: Timestep is 1.19925551470588
1370: Timestep is 1.19925551470588
1098: Timestep is 1.19925551470588
281: Timestep is 1.19925551470588
1915: Timestep is 1.19925551470588
820: Timestep is 1.19925551470588
39: Timestep is 1.19925551470588
1642: Timestep is 1.19925551470588
555: Timestep is 1.19925551470588
1371: Timestep is 1.19925551470588
1099: Timestep is 1.19925551470588
282: Timestep is 1.19925551470588
1916: Timestep is 1.19925551470588
821: Timestep is 1.19925551470588
40: Timestep is 1.19925551470588
1643: Timestep is 1.19925551470588
556: Timestep is 1.19925551470588
1372: Timestep is 1.19925551470588
1100: Timestep is 1.19925551470588
283: Timestep is 1.19925551470588
1917: Timestep is 1.19925551470588
822: Timestep is 1.19925551470588
41: Timestep is 1.19925551470588
1644: Timestep is 1.19925551470588
557: Timestep is 1.19925551470588
1373: Timestep is 1.19925551470588
1101: Timestep is 1.19925551470588
284: Timestep is 1.19925551470588
1918: Timestep is 1.19925551470588
823: Timestep is 1.19925551470588
42: Timestep is 1.19925551470588
1645: Timestep is 1.19925551470588
558: Timestep is 1.19925551470588
1374: Timestep is 1.19925551470588
1102: Timestep is 1.19925551470588
285: Timestep is 1.19925551470588
1919: Timestep is 1.19925551470588
824: Timestep is 1.19925551470588
43: Timestep is 1.19925551470588
1646: Timestep is 1.19925551470588
559: Timestep is 1.19925551470588
1375: Timestep is 1.19925551470588
1103: Timestep is 1.19925551470588
286: Timestep is 1.19925551470588
1920: Timestep is 1.19925551470588
825: Timestep is 1.19925551470588
44: Timestep is 1.19925551470588
560: Timestep is 1.19925551470588
1376: Timestep is 1.19925551470588
1104: Timestep is 1.19925551470588
287: Timestep is 1.19925551470588
1921: Timestep is 1.19925551470588
826: Timestep is 1.19925551470588
1647: Timestep is 1.19925551470588
1105: Timestep is 1.19925551470588
288: Timestep is 1.19925551470588
827: Timestep is 1.19925551470588
45: Timestep is 1.19925551470588
1648: Timestep is 1.19925551470588
561: Timestep is 1.19925551470588
1106: Timestep is 1.19925551470588
1922: Timestep is 1.19925551470588
829: Timestep is 1.19925551470588
46: Timestep is 1.19925551470588
1649: Timestep is 1.19925551470588
1377: Timestep is 1.19925551470588
289: Timestep is 1.19925551470588
830: Timestep is 1.19925551470588
47: Timestep is 1.19925551470588
1650: Timestep is 1.19925551470588
562: Timestep is 1.19925551470588
1107: Timestep is 1.19925551470588
290: Timestep is 1.19925551470588
831: Timestep is 1.19925551470588
48: Timestep is 1.19925551470588
1378: Timestep is 1.19925551470588
291: Timestep is 1.19925551470588
832: Timestep is 1.19925551470588
1651: Timestep is 1.19925551470588
563: Timestep is 1.19925551470588
1379: Timestep is 1.19925551470588
1108: Timestep is 1.19925551470588
833: Timestep is 1.19925551470588
49: Timestep is 1.19925551470588
1652: Timestep is 1.19925551470588
564: Timestep is 1.19925551470588
1380: Timestep is 1.19925551470588
1109: Timestep is 1.19925551470588
292: Timestep is 1.19925551470588
834: Timestep is 1.19925551470588
50: Timestep is 1.19925551470588
1653: Timestep is 1.19925551470588
565: Timestep is 1.19925551470588
1381: Timestep is 1.19925551470588
1110: Timestep is 1.19925551470588
293: Timestep is 1.19925551470588
1923: Timestep is 1.19925551470588
835: Timestep is 1.19925551470588
51: Timestep is 1.19925551470588
566: Timestep is 1.19925551470588
1382: Timestep is 1.19925551470588
1111: Timestep is 1.19925551470588
294: Timestep is 1.19925551470588
836: Timestep is 1.19925551470588
567: Timestep is 1.19925551470588
1383: Timestep is 1.19925551470588
1924: Timestep is 1.19925551470588
837: Timestep is 1.19925551470588
1654: Timestep is 1.19925551470588
1112: Timestep is 1.19925551470588
295: Timestep is 1.19925551470588
838: Timestep is 1.19925551470588
52: Timestep is 1.19925551470588
1655: Timestep is 1.19925551470588
1113: Timestep is 1.19925551470588
296: Timestep is 1.19925551470588
1925: Timestep is 1.19925551470588
839: Timestep is 1.19925551470588
53: Timestep is 1.19925551470588
1656: Timestep is 1.19925551470588
568: Timestep is 1.19925551470588
1384: Timestep is 1.19925551470588
297: Timestep is 1.19925551470588
1926: Timestep is 1.19925551470588
840: Timestep is 1.19925551470588
54: Timestep is 1.19925551470588
1657: Timestep is 1.19925551470588
1114: Timestep is 1.19925551470588
1927: Timestep is 1.19925551470588
841: Timestep is 1.19925551470588
569: Timestep is 1.19925551470588
1928: Timestep is 1.19925551470588
