0: output to I.dmc.o
1088: Timestep is 1.15515625
816: Timestep is 1.15515625
1089: Timestep is 1.15515625
272: Timestep is 1.15515625
1632: Timestep is 1.15515625
1904: Timestep is 1.15515625
817: Timestep is 1.15515625
1360: Timestep is 1.15515625
1090: Timestep is 1.15515625
273: Timestep is 1.15515625
0: Timestep is 1.15515625
1091: Timestep is 1.15515625
1633: Timestep is 1.15515625
544: Timestep is 1.15515625
1361: Timestep is 1.15515625
274: Timestep is 1.15515625
1905: Timestep is 1.15515625
818: Timestep is 1.15515625
1092: Timestep is 1.15515625
1634: Timestep is 1.15515625
545: Timestep is 1.15515625
1906: Timestep is 1.15515625
819: Timestep is 1.15515625
546: Timestep is 1.15515625
548: Timestep is 1.15515625
549: Timestep is 1.15515625
27: Timestep is 1.15515625
1093: Timestep is 1.15515625
1635: Timestep is 1.15515625
1362: Timestep is 1.15515625
275: Timestep is 1.15515625
1907: Timestep is 1.15515625
820: Timestep is 1.15515625
28: Timestep is 1.15515625
1094: Timestep is 1.15515625
1636: Timestep is 1.15515625
1363: Timestep is 1.15515625
276: Timestep is 1.15515625
1908: Timestep is 1.15515625
821: Timestep is 1.15515625
29: Timestep is 1.15515625
1637: Timestep is 1.15515625
1364: Timestep is 1.15515625
277: Timestep is 1.15515625
1909: Timestep is 1.15515625
822: Timestep is 1.15515625
31: Timestep is 1.15515625
1095: Timestep is 1.15515625
1638: Timestep is 1.15515625
1365: Timestep is 1.15515625
278: Timestep is 1.15515625
39: Timestep is 1.15515625
1096: Timestep is 1.15515625
1639: Timestep is 1.15515625
550: Timestep is 1.15515625
1366: Timestep is 1.15515625
279: Timestep is 1.15515625
1910: Timestep is 1.15515625
823: Timestep is 1.15515625
40: Timestep is 1.15515625
1097: Timestep is 1.15515625
1640: Timestep is 1.15515625
551: Timestep is 1.15515625
1367: Timestep is 1.15515625
280: Timestep is 1.15515625
1911: Timestep is 1.15515625
824: Timestep is 1.15515625
1098: Timestep is 1.15515625
1641: Timestep is 1.15515625
552: Timestep is 1.15515625
1368: Timestep is 1.15515625
281: Timestep is 1.15515625
1912: Timestep is 1.15515625
825: Timestep is 1.15515625
553: Timestep is 1.15515625
826: Timestep is 1.15515625
554: Timestep is 1.15515625
41: Timestep is 1.15515625
1642: Timestep is 1.15515625
555: Timestep is 1.15515625
1369: Timestep is 1.15515625
1913: Timestep is 1.15515625
42: Timestep is 1.15515625
556: Timestep is 1.15515625
282: Timestep is 1.15515625
1914: Timestep is 1.15515625
1643: Timestep is 1.15515625
1370: Timestep is 1.15515625
283: Timestep is 1.15515625
43: Timestep is 1.15515625
1915: Timestep is 1.15515625
44: Timestep is 1.15515625
1099: Timestep is 1.15515625
1644: Timestep is 1.15515625
1371: Timestep is 1.15515625
284: Timestep is 1.15515625
1916: Timestep is 1.15515625
45: Timestep is 1.15515625
1100: Timestep is 1.15515625
1645: Timestep is 1.15515625
1372: Timestep is 1.15515625
285: Timestep is 1.15515625
1917: Timestep is 1.15515625
1101: Timestep is 1.15515625
1646: Timestep is 1.15515625
557: Timestep is 1.15515625
827: Timestep is 1.15515625
1373: Timestep is 1.15515625
286: Timestep is 1.15515625
46: Timestep is 1.15515625
1919: Timestep is 1.15515625
1102: Timestep is 1.15515625
1647: Timestep is 1.15515625
558: Timestep is 1.15515625
1374: Timestep is 1.15515625
287: Timestep is 1.15515625
1920: Timestep is 1.15515625
828: Timestep is 1.15515625
1103: Timestep is 1.15515625
1648: Timestep is 1.15515625
559: Timestep is 1.15515625
829: Timestep is 1.15515625
1104: Timestep is 1.15515625
560: Timestep is 1.15515625
830: Timestep is 1.15515625
1105: Timestep is 1.15515625
561: Timestep is 1.15515625
831: Timestep is 1.15515625
562: Timestep is 1.15515625
832: Timestep is 1.15515625
47: Timestep is 1.15515625
1649: Timestep is 1.15515625
1375: Timestep is 1.15515625
288: Timestep is 1.15515625
1921: Timestep is 1.15515625
48: Timestep is 1.15515625
1650: Timestep is 1.15515625
1376: Timestep is 1.15515625
289: Timestep is 1.15515625
1922: Timestep is 1.15515625
49: Timestep is 1.15515625
1651: Timestep is 1.15515625
1377: Timestep is 1.15515625
290: Timestep is 1.15515625
1923: Timestep is 1.15515625
50: Timestep is 1.15515625
1106: Timestep is 1.15515625
1378: Timestep is 1.15515625
291: Timestep is 1.15515625
51: Timestep is 1.15515625
1107: Timestep is 1.15515625
1652: Timestep is 1.15515625
563: Timestep is 1.15515625
1379: Timestep is 1.15515625
1924: Timestep is 1.15515625
833: Timestep is 1.15515625
52: Timestep is 1.15515625
1108: Timestep is 1.15515625
1653: Timestep is 1.15515625
564: Timestep is 1.15515625
1380: Timestep is 1.15515625
292: Timestep is 1.15515625
1925: Timestep is 1.15515625
1109: Timestep is 1.15515625
1654: Timestep is 1.15515625
565: Timestep is 1.15515625
293: Timestep is 1.15515625
1926: Timestep is 1.15515625
834: Timestep is 1.15515625
1110: Timestep is 1.15515625
566: Timestep is 1.15515625
294: Timestep is 1.15515625
835: Timestep is 1.15515625
53: Timestep is 1.15515625
1111: Timestep is 1.15515625
1655: Timestep is 1.15515625
567: Timestep is 1.15515625
1381: Timestep is 1.15515625
1927: Timestep is 1.15515625
836: Timestep is 1.15515625
54: Timestep is 1.15515625
1656: Timestep is 1.15515625
568: Timestep is 1.15515625
1382: Timestep is 1.15515625
295: Timestep is 1.15515625
1928: Timestep is 1.15515625
837: Timestep is 1.15515625
569: Timestep is 1.15515625
838: Timestep is 1.15515625
55: Timestep is 1.15515625
1112: Timestep is 1.15515625
1657: Timestep is 1.15515625
570: Timestep is 1.15515625
1383: Timestep is 1.15515625
296: Timestep is 1.15515625
1929: Timestep is 1.15515625
839: Timestep is 1.15515625
56: Timestep is 1.15515625
1113: Timestep is 1.15515625
1658: Timestep is 1.15515625
571: Timestep is 1.15515625
1384: Timestep is 1.15515625
297: Timestep is 1.15515625
1930: Timestep is 1.15515625
840: Timestep is 1.15515625
57: Timestep is 1.15515625
1114: Timestep is 1.15515625
1660: Timestep is 1.15515625
572: Timestep is 1.15515625
1385: Timestep is 1.15515625
298: Timestep is 1.15515625
1931: Timestep is 1.15515625
841: Timestep is 1.15515625
58: Timestep is 1.15515625
1115: Timestep is 1.15515625
1661: Timestep is 1.15515625
573: Timestep is 1.15515625
1386: Timestep is 1.15515625
299: Timestep is 1.15515625
1932: Timestep is 1.15515625
842: Timestep is 1.15515625
1116: Timestep is 1.15515625
1662: Timestep is 1.15515625
575: Timestep is 1.15515625
1387: Timestep is 1.15515625
300: Timestep is 1.15515625
1933: Timestep is 1.15515625
843: Timestep is 1.15515625
1117: Timestep is 1.15515625
576: Timestep is 1.15515625
844: Timestep is 1.15515625
577: Timestep is 1.15515625
845: Timestep is 1.15515625
59: Timestep is 1.15515625
1663: Timestep is 1.15515625
1388: Timestep is 1.15515625
301: Timestep is 1.15515625
1934: Timestep is 1.15515625
60: Timestep is 1.15515625
1664: Timestep is 1.15515625
1389: Timestep is 1.15515625
302: Timestep is 1.15515625
1935: Timestep is 1.15515625
61: Timestep is 1.15515625
1665: Timestep is 1.15515625
1390: Timestep is 1.15515625
303: Timestep is 1.15515625
1936: Timestep is 1.15515625
62: Timestep is 1.15515625
1391: Timestep is 1.15515625
304: Timestep is 1.15515625
63: Timestep is 1.15515625
1118: Timestep is 1.15515625
1666: Timestep is 1.15515625
578: Timestep is 1.15515625
1392: Timestep is 1.15515625
305: Timestep is 1.15515625
1937: Timestep is 1.15515625
846: Timestep is 1.15515625
64: Timestep is 1.15515625
1119: Timestep is 1.15515625
1667: Timestep is 1.15515625
580: Timestep is 1.15515625
1393: Timestep is 1.15515625
306: Timestep is 1.15515625
1938: Timestep is 1.15515625
847: Timestep is 1.15515625
1120: Timestep is 1.15515625
1668: Timestep is 1.15515625
581: Timestep is 1.15515625
307: Timestep is 1.15515625
1939: Timestep is 1.15515625
848: Timestep is 1.15515625
1121: Timestep is 1.15515625
1669: Timestep is 1.15515625
582: Timestep is 1.15515625
849: Timestep is 1.15515625
1122: Timestep is 1.15515625
583: Timestep is 1.15515625
850: Timestep is 1.15515625
1123: Timestep is 1.15515625
584: Timestep is 1.15515625
851: Timestep is 1.15515625
65: Timestep is 1.15515625
1124: Timestep is 1.15515625
586: Timestep is 1.15515625
1394: Timestep is 1.15515625
1940: Timestep is 1.15515625
852: Timestep is 1.15515625
66: Timestep is 1.15515625
1125: Timestep is 1.15515625
1671: Timestep is 1.15515625
587: Timestep is 1.15515625
1395: Timestep is 1.15515625
308: Timestep is 1.15515625
1941: Timestep is 1.15515625
853: Timestep is 1.15515625
67: Timestep is 1.15515625
1126: Timestep is 1.15515625
1672: Timestep is 1.15515625
588: Timestep is 1.15515625
1396: Timestep is 1.15515625
309: Timestep is 1.15515625
1942: Timestep is 1.15515625
854: Timestep is 1.15515625
68: Timestep is 1.15515625
1127: Timestep is 1.15515625
1673: Timestep is 1.15515625
1397: Timestep is 1.15515625
310: Timestep is 1.15515625
1943: Timestep is 1.15515625
855: Timestep is 1.15515625
69: Timestep is 1.15515625
1128: Timestep is 1.15515625
1674: Timestep is 1.15515625
589: Timestep is 1.15515625
1398: Timestep is 1.15515625
311: Timestep is 1.15515625
1945: Timestep is 1.15515625
70: Timestep is 1.15515625
1129: Timestep is 1.15515625
1675: Timestep is 1.15515625
590: Timestep is 1.15515625
1399: Timestep is 1.15515625
313: Timestep is 1.15515625
1946: Timestep is 1.15515625
856: Timestep is 1.15515625
1130: Timestep is 1.15515625
1676: Timestep is 1.15515625
591: Timestep is 1.15515625
1400: Timestep is 1.15515625
314: Timestep is 1.15515625
1947: Timestep is 1.15515625
857: Timestep is 1.15515625
593: Timestep is 1.15515625
