                                                  

        SCF,CCSD
   -103.9749733,   -104.5952433
   -103.9683974,   -104.5824654
   -103.8725157,   -104.5163007
   -103.7173720,   -104.2685488
   -103.6848417,   -104.2528325
   -103.9747717,   -104.6513578
   -103.1125453,   -103.6197507
   -102.7754861,   -103.2295568
   -102.1029102,   -102.5583392
   -101.6695537,   -102.0973123
   -100.6537250,   -101.0506264
   -98.50109156,   -98.87352598
   -95.83255682,   -96.17510465
   -92.58171103,   -92.89711696
   -88.72380136,   -89.01364877
   -86.84498579,   -87.20823469
   -84.28194034,   -84.54043667
   -28.78850197,   -28.83900183
