                                                  

        SCF,CCSD
   -103.9224101,   -104.5502061
   -103.9039832,   -104.5260102
   -103.7979298,   -104.4520941
   -103.6620032,   -104.2193061
   -103.6153043,   -104.1905693
   -103.91248695,   -104.59934213
   -103.05212522,   -103.56484315
   -102.05516196,   -102.51462570
   -100.62143949,   -101.02086807
    -98.48780844,    -98.86172554
   -95.83976957,   -96.18283347
   -92.61057317,   -92.92560404
   -88.77496620,   -89.06362677
   -86.95960436,   -87.31190966
   -84.35554662,   -84.61211284
   -28.81110899,   -28.86110759
                                                  
