        SCF,CCSD
   -103.61435654,   -104.23028775
   -103.60969496,   -104.21964479
   -103.51561773,   -104.15500010
   -103.35843523,   -103.90556985
   -103.32848561,   -103.89242988
   -103.61561198,   -104.28753337
   -102.75750771,   -103.26075089
   -102.41570986,   -102.86552725
   -101.75003500,   -102.2015693
   -101.31605424,   -101.73977016
   -100.30420536,   -100.69726284
    -98.15411824,    -98.52302393
    -95.48943907,    -95.82880695
    -92.24398304,    -92.55665862
    -88.39359591,    -88.68125394
    -86.54912411,    -86.90687881
    -83.96240366,    -84.21933303
    -28.66478523,    -28.71584674
