        SCF,CCSD
   -103.9659132,   -104.5827311
   -103.9593005,   -104.5705572
   -103.8634315,   -104.5048523
   -103.7109388,   -104.2589099
   -103.6791516,   -104.2443363
   -103.9649236,   -104.6382744
   -103.1116293,   -103.6157041
   -102.7745413,   -103.2251892
   -102.1075525,   -102.5596663
   -101.6767925,   -102.1011521
   -100.6641991,   -101.0578809
   -98.51693965,   -98.88630403
   -95.85291754,   -96.19270291
   -92.60529574,   -92.91835908
   -88.74899479,   -89.03701231
   -86.86331348,   -87.22263913
   -84.30699833,   -84.56435288
   -28.79008894,   -28.84063359
                                                  
