                                                  

        SCF,CCSD
   -103.66505684,   -104.27470829
   -103.66273819,   -104.26586800
   -103.57061659,   -104.20258292
   -103.40890052,   -103.94994553
   -103.38149935,   -103.93882444
   -103.66842831,   -104.33325216
   -102.80712995,   -103.30447456
   -102.45854238,   -102.90382153
   -101.79512982,   -102.24149961
   -101.35682193,   -101.77598175
   -100.34407575,   -100.73270743
    -98.18745358,    -98.55247928
    -95.51634177,    -95.85244929
    -92.26490495,    -92.57491038
    -88.40947705,    -88.69501071
    -86.52612450,    -86.88513664
    -83.97471576,    -84.23015111
    -28.69390393,    -28.74484618
                                                  
