
        SCF,CCSD
   -103.76696375,   -104.37771148
   -103.76320119,   -104.36737694
   -103.66973047,   -104.30304833
   -103.51019068,   -104.05200051
   -103.48099402,   -104.03922144
   -103.76916407,   -104.43544379
   -102.90711253,   -103.40509620
   -101.89565325,   -102.34243813
   -100.44516795,   -100.83399537
    -98.28908065,    -98.65411479
    -95.61850634,    -95.95448145
    -92.36761398,    -92.67736732
    -88.51275681,    -88.79794168
    -86.62794223,    -86.98587581
    -84.07862562,    -84.33367894
    -28.73784589,    -28.78914686

